"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"39885",24.44,56.75,24.26,22.8,36.5099245,32.37,12.84203888,NA,21.68,20.257750058,37.2,7.56,9.53,16.35057928,30.17,10.81665585,19.5246676,19.62,0.421710718,NA,8.09,31.57,89.7,47.890431372,25.9,42.39515,14.79,36.14260356,NA,4.41
"39888",24.35,58.66,24.35,22.405,35.94899035,32.46,12.8613793,NA,21.945,20.646127168,39.64,7.73,9.655,17.27161513,29.19,10.666656,19.4693308,19.49,0.495710696,NA,8.33,31.89,94.1,48.982952619,26.3,42.96687888,14.85,36.778777,NA,4.41
"39889",23.91,60.5,24.03,22.85,32.36688455,32.65,12.571273,NA,21.5,21.345205966,39.76,7.55,9.555,16.89442902,29.68,11.1666555,19.7552376,19.3,0.479662508,NA,8.2,31.82,93.81,48.184937099,26.45,43.2672788,14.5,35.51637033,NA,4.42
"39890",23.9,63.1,23.9,22.63,33.852868,33,12.83236867,NA,21.66,21.516091894,43,7.59,9.655,17.26284336,28.75,11.1999888,18.90674,19.52,0.571493806,NA,8.45,32.38,94,48.868950402,27.27,43.5579884,14.68,34.5919308,NA,4.45
"39891",24.45,64.32,23.7,21.83,33.37066145,31.82,12.9580814,NA,21.61,22.261775945,39.6,7.795,9.36,16.97337495,27.65,10.30665636,19.9304708,19.01,0.608939578,NA,8.455,32.16,98.5,49.210957053,27.6,42.2497952,13.7,36.15254377,NA,4.51
"39892",23.87,62.3,23.78,21.855,36.81499395,31.15,12.61962405,NA,20.985,21.710280449,39.49,7.505,9.085,17.57862708,25.99,9.8666568,20.2348232,19.12,0.60180705,NA,8.055,31.66,93.45,49.685966291,26.805,42.11413072,13.35,35.29768571,NA,4.32
"39895",24.62,68.09,24.54,22.425,37.39561,31.94,13.10313455,NA,21.815,24.390082508,41,7.935,9.3,18.45580408,26.55,9.7333236,21.0648752,19.69,0.703445574,NA,8.495,31.74,97.35,50.52198255,27.25,44.56578168,14.15,35.14858256,NA,4.57
"39896",25.44,65.8,24.87,22.355,38.182886,32.63,12.64863468,NA,20.95,24.85613504,41.33,7.92,9.44,18.51720647,26.74,9.80665686,20.797414,20.17,0.819349154,NA,8.5,32.635,94.51,51.205995853,27.56,44.7692784,14.22,36.12272314,NA,4.5
"39897",26.23,64.11,24.01,22.11,37.64163375,33.36,12.0877625,NA,20.38,23.574490577,39.66,8.105,9.51,18.72772895,28.04,10.04665662,22.0332692,20.35,0.760505798,NA,8.5,32.51,96,51.738006199,27.025,41.67806632,13.98,37.4745917,NA,4.84
"39898",26.25,67.7,24.34,22.54,37.48417855,33.63,12.05875187,NA,20.475,24.863902582,43.7,8.37,9.56,19.08737152,29.04,9.7999902,22.1254972,20.39,0.818457588,NA,8.54,32.99,96.05,52.669024306,27.88,43.2188272,13.81,40.73498058,NA,4.88
