"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"39988",27.74,65.35,28.96,26.555,38.2419317,32.79,18.9536116,NA,25.585,33.089729772,56.37,8.97,8.155,22.74519961,31.67,11.2999887,28.0004208,22.41,2.13530057,NA,8.705,36.04,93,53.723544814,28.865,47.66668408,18.06,47.6136059,NA,6.76
"39989",27.55,65.2,28.4,26.565,38.1435222,33.65,19.9206326,NA,25.53,33.781041028,56,9.08,8.25,22.87677616,31.98,11.14665552,28.1572084,22.24,2.25566198,NA,8.81,35.58,93.45,53.67604389,28.685,47.8217292,17.99,47.96151325,NA,6.86
"39990",27.41,63.28,28.04,26.77,37.9663851,33.14,19.23404769,NA,25.83,33.866483992,55.08,9,8.23,22.18380633,31.58,11.13998886,28.313996,21.8,2.25120415,NA,8.76,35.15,93.6,52.868528186,28.305,47.3372132,17.93,47.3153996,NA,6.96
"39993",27.42,65.35,29.04,27.14,37.9663851,33.73,19.20503706,NA,26.245,34.371374235,56.32,9.355,8.425,22.65748191,31.85,11.0333223,27.7237368,22.36,2.26903547,NA,9.07,35.985,96.6,54.113052389,28.7,48.67447736,18.16,47.713008,NA,6.85
"39994",27.04,65.41,28.4,26.83,37.6121109,33.45,19.52415399,NA,25.72,33.579084931,55.25,9.235,8.37,22.13117571,31.94,11.08998891,27.253374,22.16,2.25120415,NA,8.95,36.3,96.13,53.486040195,28.6,47.70544536,17.71,49.44260454,NA,6.94
"39995",27.54,67.55,29.08,27.67,38.0844765,34.19,20.08502617,NA,26.4,33.54024722,55.07,9.6,8.565,22.3680135,32.16,11.2666554,27.3824932,23.39,2.33144509,NA,8.96,37.06,98.2,54.236554791,28.7,48.55819352,18.28,49.06487656,NA,6.9
"39996",26.83,65.05,27.8,26.54,36.9035625,33.47,19.4371221,NA,25.07,32.514931649,52.48,9.305,8.395,21.59609774,32.44,11.48665518,26.7553428,23.07,2.19325236,NA,8.755,36.34,96.1,53.153533729,28.105,46.04840064,17.24,50.3968647,NA,6.68
"39997",26.49,64.9,27.68,26.52,36.79531205,33.42,19.38877105,NA,25.035,33.198475363,52.03,9.39,8.355,21.24522694,32.69,11.12332221,25.6486068,22.84,2.17542104,NA,8.735,36.225,95.52,52.488520795,27.81,45.99025872,17.06,49.57182727,NA,6.87
"40000",26.34,64.3,27.85,25.78,36.5099245,33.16,18.80855845,NA,24.65,32.196462419,52.44,9.24,8.34,20.90312791,32.7,10.88332245,24.6802128,22.52,2.19771019,NA,9,36.19,95.2,51.928009895,27.77,45.61233624,16.6,49.70105,NA,6.75
"40001",26.24,63.35,27.75,25.525,35.9981951,32.59,18.4701011,NA,24.23,32.856703506,51.93,9.22,8.225,20.13998392,32.26,11.11665555,24.624876,22.19,2.20216802,NA,8.85,36.425,94.5,50.882989571,27.38,45.059988,16.85,48.54798564,NA,6.85
"40002",25.7,62.58,27.53,25.035,35.7620123,32.29,18.2766969,NA,23.655,32.367348348,50.23,9.1,8.09,20.5259418,32.44,10.8333225,25.8515084,22.12,2.38493905,NA,8.83,36.26,93.65,50.635984767,27.855,44.74989776,16.72,48.4088227,NA,6.82
"40003",25.37,63.75,27.76,25.615,35.9785132,32.02,18.89559034,NA,24.41,34.138347969,51.76,9.26,8.105,20.44699587,32.25,10.76998923,26.5801096,21.9,2.33590292,NA,8.86,36.22,95.1,50.379479779,28.805,45.9805684,16.92,50.695071,NA,6.89
"40004",25.49,62.65,27.92,25.865,35.2109191,31.75,18.42175005,NA,24.29,34.083975174,51.22,8.93,8.01,20.15752746,31.86,10.59332274,25.0030108,21.8,2.41168603,NA,8.63,35.57,94.48,50.312978486,28.6,45.33131696,16.71,50.56584827,NA,6.87
"40007",25.71,64.69,29.04,26.64,36.7854711,31.84,18.71185635,NA,25.7,35.520970481,52.25,9.01,8.055,20.74523605,31.96,10.64998935,27.714514,21.92,2.58108357,NA,8.81,35.645,97.06,51.367498994,29.305,46.9011488,16.78,53.5777319,NA,7.19
"40008",26.23,65.95,29.6,28.04,36.3327874,31.9,19.4371221,NA,26.375,36.196746652,53.5,9.24,8.075,20.93821499,31.39,10.54998945,27.622286,21.91,2.5855414,NA,8.85,35.955,96.6,51.643004352,29.125,47.36628416,17.43,56.37093091,NA,7.44
"40009",26.45,67.9,31.07,28.55,36.57881115,32.49,21.16808969,NA,27.73,37.486158657,55.76,9.48,8.18,21.35048818,31.53,10.666656,27.7237368,22.73,2.81734856,NA,9.065,36.005,98.2,52.982530403,29.82,48.936116,18.09,57.16614771,NA,7.7
"40010",26.76,68.88,31.36,28.5,36.805153,32.84,22.67664245,NA,28.37,37.455088489,56.59,9.48,8.22,21.2276834,31.55,10.61998938,27.714514,22.54,3.09819185,NA,9.21,35.875,98.75,53.552541489,30,49.35279976,17.95,57.40471275,NA,7.83
"40011",27.04,68.55,31.7,29.44,37.4349738,32.88,23.28586568,NA,28.975,37.540531453,57.4,9.6,8.3,21.052248,31.84,10.63665603,27.5116124,22.79,2.91542082,NA,9.32,36.165,98.6,53.704544445,30.25,50.0020512,17.94,56.4603928,NA,8.12
"40014",27.54,69.92,32.02,28.95,37.5137014,32.9,26.58340729,NA,29.93,38.092026949,57.65,9.89,8.27,21.53469535,31.7,10.64998935,27.345602,23.27,2.88,NA,9.365,35.8,99.4,54.683063475,30.395,50.631922,18.6,52.83221615,NA,7.8
"40015",27.86,69.95,32.4,29.97,37.9663851,32.93,24.80408865,NA,30.15,37.824046743,57.68,9.93,8.265,21.64872836,31.4,10.71332262,28.1018716,23.85,3.015,NA,9.46,35.87,97.5,54.683063475,30.33,51.5040508,18.6,53.5777319,NA,8.01
"40016",28.03,69.26,33.04,29.99,38.8520706,33.21,24.39793983,NA,30.05,38.126980889,57.5,9.97,8.395,21.90310969,31.81,10.83665583,27.8251876,24.18,3.015,NA,9.485,36.82,98.71,55.433578071,31.16,52.2792764,18.53,53.82623715,NA,8.15
"40017",28.6,71.11,34.25,30.52,40.2101217,33.48,24.68804613,NA,31.02,39.466881918,58.9,10.33,8.53,22.30661111,31.6,10.7999892,28.1203172,24.69,2.985,NA,9.75,36.665,101,55.595081212,31.75,53.91694048,19.7,54.12444345,NA,8.11
"40018",28.99,70.78,34.33,30.9,39.560619,33.78,24.175525,NA,31.565,39.769816064,59.64,10.24,8.515,22.27152403,32.19,10.5666561,28.037312,24.39,2.885,NA,9.635,31.7,101.4,55.215073821,31.525,53.6843728,20.53,56.64925679,NA,8
"40021",29.1,71.34,33.78,30.45,39.55077805,33.75,24.87178012,NA,30.53,40.453359778,59.26,10.37,8.51,22.70134076,32.36,10.5999894,27.945084,24.51,2.75,NA,9.47,31.425,101.37,55.196073452,31.515,54.19795976,21.06,55.68505642,NA,7.98
"40022",28.79,70.25,33.95,30.5,39.3244362,33.85,25.01683327,NA,30.2,36.266654532,57.56,10.39,8.7,22.60485129,32.11,10.61332272,27.6684,24.41,2.65,NA,9.42,32.085,101.35,55.09157142,31.12,53.80065664,20.4,54.7705571,NA,7.9
"40023",29.89,70.01,34.7,31.575,41.5091271,34.49,24.78474823,NA,31.39,36.414237834,56.58,10.61,8.77,22.85923262,32.28,10.7333226,28.175654,25.03,2.745,NA,9.43,31.75,103,55.433578071,31.865,55.17668208,20.3,54.40276933,NA,8.04
"40024",29.92,70.17,34.12,32.005,42.85733725,34.6,25.82913091,NA,31.965,36.383167665,57.01,11.17,9.04,23.61360484,32.21,11.1333222,28.083426,25.61,2.79,NA,9.6,32.005,105,56.488098579,32.955,55.1379208,21.45,53.2795256,NA,8.12
"40025",29.63,69.39,35.01,32.245,42.2767212,35.34,23.5953124,NA,32.415,35.497667854,55.55,11.1,8.97,23.42939767,32.25,11.52332181,28.313996,25.8,2.875,NA,9.465,32.585,106.3,56.383596547,33.045,54.20765008,21.56,54.62145395,NA,7.71
"40028",30.35,70.9,36.07,32.915,44.0284103,35.41,24.18519521,NA,33.705,36.460843087,58.11,11.29,9.01,23.55220245,32.63,12.01665465,28.2955504,25.36,2.88,NA,9.51,32.435,105.75,56.706602829,33.12,55.77748192,22.54,56.25164839,NA,7.42
"40029",30.34,72.86,35.72,32.45,43.4182714,34.8,24.44629088,NA,33.78,36.157908941,57.24,11.33,8.965,23.683779,31.7,11.6999883,28.544566,25.53,2.895,NA,9.565,32.65,102.95,56.763603937,33.425,55.19606272,22.88,56.58961553,NA,7.74
"40030",32.2,74.89,35.57,31.52,43.0246334,35.08,23.42124862,NA,32.805,35.653018698,53.38,11.31,8.85,23.0697551,31.31,11.3999886,30.0294368,26.3,2.745,NA,10.19,32.13,101,55.595081212,33.12,54.7987596,22.6,56.60949595,NA,7.54
"40031",32.27,74.8,34.95,31.415,43.58556755,35.06,22.35752552,NA,32.465,35.249106504,51.85,11.32,8.76,23.07852687,30.44,11.04998895,31.5143076,26.98,2.755,NA,10.48,32.345,101.9,55.262574745,33.14,55.9131464,22.75,57.653218,NA,7.47
"40032",33.23,76.22,35.3,31.48,44.21538835,35.49,22.5315893,NA,33.695,36.585123762,52.6,11.5,9.11,23.56097422,31.2,11.20665546,31.7541004,26.92,2.935,NA,10.695,32.28,102.74,55.880086755,33.495,57.44421696,23.4,58.10052745,NA,7.41
"40035",33.32,76.45,35.15,31.625,43.50683995,35.58,22.49290846,NA,32.16,36.655031642,52.86,11.55,9.08,23.0697551,31.06,11.3999886,32.372028,26.95,2.93,NA,10.645,32.02,103.2,55.614081581,33.33,56.67868168,22.97,57.53393548,NA,7.38
"40036",32,75,34.2,31,41.9421289,34.68,23.64366345,NA,31.66,35.567575734,52.1,11.16,9.025,22.78905846,30.84,11.25998874,31.680318,26.85,2.925,NA,10.325,31.425,101.5,55.006069757,33.1,55.59336584,21.99,56.659197,NA,7.56
"40037",31.64,75.35,34.54,31.415,42.68020015,34.34,23.14081253,NA,31.95,35.598645903,52.58,11.11,9.12,23.95570387,30.99,11.1333222,32.233686,27.39,2.92,NA,10.53,31.855,101.47,56.792104491,33.115,55.8646948,22.02,57.653218,NA,7.44
"40038",31.72,76.15,35.8,32.41,42.1389479,34.31,23.73069534,NA,32.265,36.422005376,53.01,11.3,9.055,24.07850865,30.36,11.01332232,32.556484,27.26,3.14,NA,10.705,31.85,101.5,56.45009784,33.125,56.3007592,22.51,58.59753795,NA,7.6
"40039",31.7,76.25,34.94,31.975,41.63705945,34.07,22.75400413,NA,32.035,35.87050988,52.3,11.215,8.96,24.25394405,30.07,10.96998903,32.1506808,26.93,3.23,NA,10.58,31.68,100.3,56.25059396,32.94,55.6224368,23.14,56.83812078,NA,7.57
"40042",31.95,74.05,33.98,31.34,41.4500814,33.68,21.52588746,NA,30.885,35.27240913,51.37,10.84,8.82,23.5960613,30.21,10.7999892,32.04923,26.66,3.275,NA,10.435,31.57,98.4,55.291075299,32.625,54.50805,23.23,56.97728372,NA,7.18
"40043",32.22,74.39,34.52,31.245,41.9814927,33.38,25.28759915,NA,31.1,36.010325639,53.77,10.96,8.87,23.93816033,30.1,10.7666559,31.910888,26.69,3.435,NA,10.45,31.65,100.1,56.184092667,32.595,54.4595984,23.85,58.89574425,NA,7.35
"40044",32.22,74.35,34.66,31.45,42.68020015,33.52,25.69374797,NA,31.15,35.73069412,53.65,10.9,8.99,24.55218423,30.39,10.9333224,31.634204,26.63,3.37,NA,10.66,31.565,99.41,57.24811336,32.78,54.7987596,23.69,67.95127556,NA,7.78
"40045",32.32,74.64,35.33,32.04,42.85733725,33.6,25.92583301,NA,31.96,36.080233519,53.65,11,9.02,24.90305503,30.65,11.2999887,32.2798,26.65,3.405,NA,10.62,31.45,99.69,58.42613627,32.895,55.20575304,24.01,62.9215293,NA,7.97
"40046",32.95,76.9,36.01,32.475,43.29033905,34.23,26.4963754,NA,32.805,37.206527138,54.14,11.335,9.13,26.15741814,30.56,11.2999887,31.81866,27.16,3.39,NA,11.01,31.52,101.2,60.658679689,33.16,57.172888,24.39,62.88176846,NA,7.8
"40049",32.65,79.09,36.65,32.15,43.44779425,34.28,26.94120506,NA,32.385,38.06095678,54.71,11.58,9.165,26.00829805,30.49,11.65332168,32.6394892,27.33,3.32,NA,11.06,31.865,105.83,61.171689666,33.15,57.28917184,24.69,62.3251167,NA,7.77
"40050",33.2,79.44,37.84,32.45,43.54620375,34.23,26.96054548,NA,32.725,37.905605936,55.84,11.65,9.35,26.00829805,30.48,11.7333216,32.879282,27.46,3.34,NA,11.285,32.495,105.5,61.77970149,33.48,59.75051312,24.4,63.26943665,NA,8.11
"40051",33.64,81.95,36.98,32.4,43.44779425,35.55,28.8172258,NA,32.345,37.905605936,55.57,11.8,9.36,25.85917796,30.84,11.68332165,35.8859148,27.97,3.33,NA,11.2,32.23,105.3,61.428194654,33.45,58.54891344,23.82,62.1263125,NA,7.8
"40052",32.97,81.15,36.53,31.76,41.9421289,35.38,28.1403111,NA,31.73,37.447320946,54.62,12.055,9.435,26.25390761,30.88,11.70665496,37.721252,27.51,3.36,NA,11.16,32.255,103.75,61.903203892,34.05,58.55860376,23.87,63.0209314,NA,7.72
"40053",33,81.45,36.92,31.87,42.2373574,36.23,27.58910913,NA,31.9,37.517228826,53.72,12.28,9.39,26.18373345,30.75,11.74332159,38.090164,27.59,3.525,NA,11.335,31.88,104,61.646698903,34.04,58.94621656,24.24,64.68094647,NA,7.52
"40056",32.85,80.5,36.5,31.81,42.1586298,35.5,27.6568006,NA,31.44,36.616193931,52.96,12.025,9.29,25.76268849,31.36,11.7333216,37.3615628,27.49,3.71,NA,11.25,31.61,103.8,61.276191698,34.01,58.50046184,23.6,65.07855487,NA,7.36
"40057",31.9,78.3,36,31,41.1154891,34.89,25.67440755,NA,30.54,35.575343276,52.32,11.51,9.13,24.62235839,30.62,11.14998885,35.9320288,26.91,3.58,NA,10.77,31.455,102,59.528157702,33.705,56.46549464,22.73,65.1083755,NA,7.2
"40058",31.47,76.85,35.84,30.42,41.30246715,35.1,26.32231162,NA,30,35.645251156,53.11,11.14,9.1,25.06971866,30.5,11.01998898,34.8806296,26.58,3.455,NA,10.63,31.115,104.2,59.290653083,34.095,57.2213396,22.35,64.83004962,NA,7.32
"40059",31.47,76.71,34.75,30.245,41.1942167,35.7,26.81549233,NA,30.435,36.352097496,54.35,11.48,9.165,24.88551149,30.4,10.82998917,37.5183504,26.56,3.655,NA,10.755,31.065,104.16,58.996147356,33.875,57.3666944,23.15,66.4006028,NA,7.25
"40060",31.59,77.11,35.01,31.9,41.9618108,35.76,27.3666943,NA,31.99,37.711417381,54.9,11.85,9.42,25.15743636,30.65,10.8666558,37.35234,26.12,3.715,NA,10.8,31.24,104.8,59.727661582,34.03,58.75241016,23.1,65.1083755,NA,7.46
"40063",32.05,77.98,36.02,32.305,43.60524945,37.15,27.82119417,NA,32.52,37.944443647,55,11.95,9.48,25.21883875,31.29,11.0666556,38.1178324,26.68,3.745,NA,11.06,31.71,104.24,59.452156224,33.89,59.55670672,23.65,65.25747865,NA,7.68
"40064",32.62,77.5,36.34,32.35,43.74302275,38.04,27.89855585,NA,32.25,37.478391115,54.9,12.01,9.625,25.20129521,31.1,10.92998907,37.35234,26.46,3.82,NA,11.365,31.88,103.7,59.290653083,33.7,59.86679696,23.28,64.22369681,NA,7.63
"40065",34.07,79.95,36.58,34.44,45.31757475,38.34,31.21543788,NA,33.3,38.099794491,55.23,12.07,9.63,25.5258507,31.66,10.77332256,42.4525484,27.12,3.815,NA,11.765,32.175,104,59.737161767,34.64,60.98118376,23.24,64.22369681,NA,7.8
"40066",32.99,81.25,36.03,34.35,45.1699605,38.45,35.73142595,NA,33.6,38.822175916,54.7,12.25,9.59,25.28901291,31.61,10.80332253,40.672548,27.3,3.985,NA,11.83,33.27,105,59.376154746,35.27,62.6479188,23.78,63.8161482,NA,7.94
"40067",32.87,82.11,36.09,34.31,44.9534596,38.85,33.9424371,NA,33.3,38.542544397,55.58,12.7,9.53,25.25392583,31.77,10.77332256,39.5473664,28,3.985,NA,11.87,33.925,103.65,59.281152898,35.215,61.44631912,24.45,66.47018427,NA,7.86
"40070",33.85,82,35.91,35.11,45.84898605,39.31,34.30990508,NA,33.41,38.340588299,57.08,12.54,9.42,24.99077273,32.01,10.72665594,38.6250864,28.63,3.865,NA,11.93,34.01,103.79,59.328653822,35.23,62.47349304,24.16,68.26936228,NA,7.85
"40071",34.15,82.02,36.1,34.825,46.7051487,38.8,38.24568055,NA,33.15,38.876548711,56.58,12.495,9.58,24.98200096,31.8,10.7666559,43.6607352,28.42,3.93,NA,12.07,33.85,103.83,59.290653083,35.02,63.35531216,24.19,71.91741935,NA,8.12
"40072",35.95,83.99,36.6,35.09,47.2168781,38.76,38.92259525,NA,34.145,40.298008934,56.94,12.77,9.505,24.95568565,32.73,10.8666558,43.162704,28.39,3.88,NA,12.315,33.545,104.86,59.680160658,34.625,64.2952732,24.86,75.0485855,NA,8.24
"40073",36.48,82.37,36.4,34.16,47.14799145,39.03,36.77580863,NA,33.62,40.857271972,57.2,13.195,9.42,25.04340335,33.78,11.2999887,44.26944,27.9,3.645,NA,12.17,33.7,103.7,60.259671929,34.065,63.98518296,24.9,73.9551624,NA,8.21
"40074",36.34,83,37,33.82,47.039741,38.71,36.14724498,NA,33.695,40.437824693,59.58,13.2,9.32,25.29778468,33.7,11.333322,42.2312012,27.45,3.61,NA,12.15,33.93,104.8,60.117169157,34.255,64.71195696,24.89,72.87167951,NA,8.49
"40077",35.75,83.13,36.54,34.3,47.039741,38.58,35.5863728,NA,32.97,39.82418886,58.47,12.84,9.3,25.21883875,33.87,11.30665536,40.303636,27.44,3.59,NA,11.935,33.865,104.44,59.385654931,34.41,63.53942824,24.29,69.58147,NA,8.37
"40078",35.85,84.4,36.88,34.78,46.63626205,38.59,38.05227635,NA,34.21,40.698037357,58.25,13.04,9.33,25.21006698,34.08,11.2999887,44.546124,27.52,3.65,NA,12.31,34.345,107.67,59.965166201,34.555,63.78168624,24.29,68.69679131,NA,8.25
"40079",36.15,84.6,36.64,34.055,46.3705564,38.98,37.37536165,NA,33.96,41.548583228,58.86,12.85,9.27,25.30655645,33.84,11.07332226,44.26944,27.93,3.735,NA,12.295,33.54,109.2,59.746661952,34.125,64.15960872,24.15,70.59537142,NA,8.21
"40080",35.59,81.1,35.75,33.735,45.4848709,38.31,36.52438317,NA,33.63,39.715443269,58,12.6,9.23,24.78025025,33.5,11.23998876,42.4,27.94,3.525,NA,12.12,33.71,107,59.148150312,33.57,62.24092536,23.87,71.8677183,NA,8.13
"40081",36.1,81.14,35.33,33.45,45.21916525,39.29,35.20923461,NA,33.6,39.886329197,57.7,12.57,9.29,24.93814211,33.97,11.333322,42.08,28.46,3.515,NA,11.855,33.905,106.6,59.186151051,33.35,61.62074488,23.25,74.09432534,NA,7.9
"40084",36.15,83.54,36.2,34.165,47.56131135,40.25,36.63075548,NA,34.42,41.253416624,57.42,12.87,9.46,25.83286265,34.01,11.2666554,42.96,29.5,3.56,NA,12.12,34.25,108.2,61.561197241,33.42,64.22744096,23.93,75.19768865,NA,8.3
"40085",35.91,83.75,36,33.755,47.7286075,39.85,35.4896707,NA,34.305,41.610723566,56.68,12.83,9.455,25.68374256,33.93,11.1999888,44.35,29.29,3.66,NA,12.085,34.27,108.3,60.297672668,33.16,62.81265424,23.6,77.7324422,NA,8.2
"40086",36.33,86.1,36.34,32.91,46.8232401,40.1,35.70241532,NA,34.62,41.144671034,56.08,12.82,9.355,25.50830716,34.08,11.1666555,44.22,29.42,3.89,NA,12.155,33.98,109.3,60.497176548,33.55,61.76609968,23.65,78.4282569,NA,8.16
"40087",35.45,84.1,34.85,32.355,45.2290062,39.8,35.31560692,NA,33.44,39.350368785,54.1,12.4,9.16,24.85042441,33.67,11.33665533,42.35,28.7,3.75,NA,11.76,33.695,110.3,59.594658995,33.34,59.837726,22.73,75.69469915,NA,7.8
"40088",34.9,82.17,34.41,31.78,45.2290062,39.24,34.16485193,NA,32.94,38.946456591,54.68,12.11,9.11,24.55218423,33.4,11.18332215,42.6,28.23,3.68,NA,11.5,33.305,110.7,59.129149942,33.035,58.61674568,22.6,74.7503792,NA,7.76
"40091",35.4,82.9,34.9,31.975,45.7407356,39.52,33.75870311,NA,32.73,39.381438954,54.9,12.18,9.3,24.51709715,33.8,11.16998883,42.49,28.62,3.76,NA,11.605,33.45,110.89,59.395155116,33.125,58.97528752,22.55,75.9432044,NA,7.85
"40092",35.9,85.38,35.92,32.415,46.69530775,40.45,36.0698833,NA,33.505,40.60094308,55.92,12.57,9.37,24.85919618,33.66,11.15998884,43.5,29.21,3.785,NA,11.7,33.93,111.37,60.107668972,33.135,60.97149344,23.16,78.57736005,NA,8.02
"40093",35.18,86.15,36.1,32.145,46.53785255,40.53,36.75646821,NA,33.425,40.670850959,55.65,12.57,9.36,24.61358662,33.89,11.16998883,43.6,29.21,3.78,NA,11.635,33.86,111,60.145669712,33.415,61.02963536,23.04,80.0186905,NA,8.06
"40094",34.53,86.66,37.18,33.015,46.41976115,40.78,38.63248895,NA,34.515,41.435953866,56.39,12.81,9.42,24.62235839,33.95,11.2999887,43.82,30.84,3.8,NA,11.79,33.85,112.1,60.193170635,34.375,62.5510156,23.86,80.7145052,NA,8.03
"40095",34.85,86.95,37.36,32.875,46.3115107,41.13,38.38106349,NA,34.59,41.358278444,56.82,12.76,9.31,24.46446653,33.53,11.2999887,44.7,30.81,3.795,NA,11.745,33.915,113.73,59.955666016,34.505,62.71575104,23.82,79.1240716,NA,8.06
"40098",34.9,88.16,38.21,33.5,47.3349695,41.66,40.1313715,NA,34.735,42.251545797,57.54,12.69,9.43,24.41183591,33.7,11.48665518,45.44,31.24,3.96,NA,11.93,34.41,113.82,60.041167679,34.705,64.26620224,24.19,77.08632855,NA,8.24
"40099",34.42,87.12,37.94,33.33,46.7445125,41.19,39.40610575,NA,34.5,41.882587543,56.58,12.53,9.325,24.07850865,33.28,11.43998856,45.86,30.45,3.92,NA,11.8,34.26,112.88,59.015147725,34.62,63.78168624,24.35,77.7324422,NA,8.06
"40100",35.9,88.21,40.32,33.985,47.630198,41.59,40.99202019,NA,35.11,43.304047765,57.94,12.7,9.46,23.63114838,33.4,11.31332202,47.25,30.93,4.01,NA,12.02,34.63,114.54,59.22415179,35.04,66.70816288,25.24,76.8378233,NA,8.29
"40101",36.3,87.3,39.99,33.575,47.9647903,41.84,41.0016904,NA,35.15,43.731262586,58.45,12.97,9.565,23.46448475,33.6,11.29665537,47.28,31.69,3.93,NA,11.93,34.85,113.1,58.169631282,34.83,66.38838232,25.57,77.533638,NA,8.69
"40102",36.15,86.6,39.69,33.45,47.02990005,41.96,40.3247757,NA,35.34,42.830227691,58.68,12.79,9.42,23.11361395,33.4,11.32332201,46.68,31.89,3.83,NA,11.765,34.7,111.62,58.055629064,34.595,65.1189504,25.37,72.4641309,NA,8.55
"40105",36.57,86.4,40.84,34.62,47.827017,42.5,40.41180759,NA,37.48,43.669122249,62.02,12.85,9.455,23.10484218,33.44,11.31332202,48.56,31.71,3.865,NA,11.695,34.95,113.49,58.24563276,35.14,65.80696312,25.37,73.69671694,NA,8.56
"40106",35.88,84.35,40.18,34.95,46.8626039,42.25,39.59950995,NA,36.81,42.682644389,61.42,12.72,9.42,23.4206259,33.26,11.21665545,47.83,31.51,3.88,NA,11.51,35.035,113.25,58.730142182,34.59,64.9735956,25.04,70.9730994,NA,8.6
"40107",35.29,84.12,40.32,35.46,47.6695618,42.41,39.3577547,NA,37.16,41.902006398,60.59,12.75,9.6,23.95570387,33.15,11.30332203,47.06,31.48,3.745,NA,11.615,35.38,113.9,59.233651975,34.985,65.167402,25.04,72.6629351,NA,8.75
"40108",34.96,84.41,39.55,35.55,47.46290185,42.22,38.92259525,NA,36.72,41.148554805,60.36,12.47,9.73,23.79781201,32.94,11.1666555,45.73,30.9,3.62,NA,11.44,35.05,112.65,59.072148834,34.365,64.17898936,24.28,72.83191867,NA,8.76
"40109",34.74,83.55,39.2,36.14,47.0594229,42.41,38.86457399,NA,36.855,41.094182009,59.73,12.39,9.555,23.64869192,32.37,11.1666555,45.48,31.15,3.515,NA,11.615,34.75,111.04,58.331134422,34.47,63.63633144,24.44,72.68281552,NA,8.63
"40112",33.81,80.7,38.38,35.51,47.433379,41.95,38.07161677,NA,35.74,39.447463063,58.79,12.07,9.48,23.53465891,31.97,11.2333221,43.95,31.15,3.395,NA,11.18,33.39,109.5,58.236132575,34.21,62.89986712,24.1,71.12220255,NA,8.6
"40113",33.34,79.9,38.18,34.46,47.7286075,42.02,35.36395797,NA,34.96,39.008596929,59.6,11.85,9.475,23.74518139,32.65,11.17665549,42.29,31.14,3.17,NA,10.895,33.25,111.39,57.998627956,34.38,62.98708,23.4,68.23954165,NA,8.37
"40114",32.1,78.7,36.83,33.145,46.5476935,41.54,33.42991597,NA,33.045,37.719184923,56.38,11.36,9.55,23.5083436,32.79,11.0999889,40,30.57,3.045,NA,10.425,32.9,110.61,57.989127771,31.38,60.86489992,21.89,65.28729928,NA,8.2
"40115",32.86,82.15,37.65,34.105,47.4727428,42,37.89755299,NA,34.8,40.701921128,58.26,11.81,9.6,23.55220245,33.27,11.41665525,41.59,31.82,3.34,NA,10.715,32.9,111.8,58.017628325,31.72,62.6963704,22.87,70.4760889,NA,8.8
"40116",31.5,77.99,36.7,33.23,46.30166975,41.6,35.1028623,NA,32.905,37.983281358,55.15,11.4,9.255,22.81537377,32.84,11.2666554,40.56,30.5,3.075,NA,10.46,32,108.05,56.526099318,30.785,59.35321,21.85,66.6988091,NA,8.71
"40119",32.63,77.89,36.28,33.55,45.96707745,41.16,34.812756,NA,32.5,37.67257967,55.64,11.44,9.285,22.61362306,32.74,11.27332206,41.72,30.78,3.155,NA,10.405,31.6,107.29,56.573600242,30.9,59.16909392,22.01,66.3012007,NA,8.7
"40120",32.77,78,36.4,31.755,46.0162822,42.64,34.1358413,NA,31.8,37.253132391,54.83,11.39,9.25,22.48204651,34.2,11.84332149,40.44,31.4,3.08,NA,10.45,31.74,106.55,56.336095623,31.57,59.110952,21.96,65.7047881,NA,8.53
"40121",33.92,79.55,36.8,32.34,45.9572365,41.48,36.02153225,NA,32.57,37.552182766,55.3,11.785,9.32,22.91186324,34.8,11.90998809,42.78,31.53,3.28,NA,10.85,32.15,107.68,56.355095993,31.62,59.4016616,22.53,67.10635771,NA,8.67
"40122",34.18,79.15,37.76,32.775,47.1381505,41.75,36.03120246,NA,32.685,37.594904248,55.25,11.81,9.525,23.10484218,35.04,12.02332131,45,31.4,3.24,NA,10.79,32.51,106.6,56.193592852,31.7,60.13812592,22.83,67.84193325,NA,8.65
"40123",34.27,79.4,37.42,33.14,47.5317885,41.47,35.03517083,NA,33.375,37.649277044,55,11.95,9.475,22.95572209,34.96,11.95332138,44.51,31.23,3.22,NA,11.135,32.49,105.32,56.288594699,31.49,60.1768872,22.86,69.45224727,NA,8.55
"40126",34.79,83.05,38.49,33.53,48.86031675,41.85,37.40437228,NA,34.12,38.837711,56.58,12.455,9.6,23.78026847,34.94,12.21665445,45.76,31.82,3.205,NA,11.285,32.97,107.4,57.476117794,31.45,61.95021576,23.37,71.2713057,NA,8.74
"40127",35.04,83.11,38.7,32.69,49.007931,42.5,36.34064918,NA,33.78,38.717314096,56.08,12.4,9.58,23.62237661,35.7,12.4666542,45.6,32.56,3.165,NA,11.16,33.125,106.7,57.761123337,31.335,61.65950616,23.18,60.01898798,NA,8.54
"40128",35.82,83,39.25,33.03,49.4212509,42.18,36.97888304,NA,34.3,39.148412688,58.05,12.51,9.585,23.93816033,35.35,12.76332057,46.49,32.27,3.375,NA,11.06,33.45,107.42,58.207632021,31.925,61.97928672,23.77,60.5358789,NA,8.62
